X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,CI_ID,CSLLEA08ID,SUBTYPE1,SUBTYPE2,TRIBAL,NUMPRE,NUMFIXSUB,NUMMOBILE,FTSWORN,FTCIV,PTSWORN,PTCIV
-8328309.7485,4911018.5792,5298,1013734,HOPEWELL TOWNSHIP POLICE DEPARTMENT,201 WASHINGTON CROSSING PENNINGTON ROAD,TITUSVILLE,NJ,08560,NOT AVAILABLE,(609) 737-3100,LOCAL POLICE DEPARTMENT,OPEN,39,MERCER,34021,USA,40.309487291,-74.81447938,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11853170,-999,-999,0,0,0,0,31,8,0,1
-8378890.6665,4821087.5494,5306,1013417,SOUTH HARRISON TOWNSHIP POLICE DEPARTMENT HEADQUARTERS,664 HARRISONVILLE ROAD,HARRISONVILLE,NJ,08039,NOT AVAILABLE,(856) 769-3737,LOCAL POLICE DEPARTMENT,OPEN,6,GLOUCESTER,34015,USA,39.69063522,-75.2688554969999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11333000,-999,-999,0,0,0,0,6,0,1,0
-8316490.671,4998087.8067,5327,1013719,STANHOPE BOROUGH POLICE DEPARTMENT,77 MAIN STREET,STANHOPE,NJ,07874,2626,(973) 347-4533,LOCAL POLICE DEPARTMENT,OPEN,9,SUSSEX,34037,USA,40.9032927000001,-74.7083067999999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11053060,-999,-999,0,0,0,0,9,0,1,1
-8316353.3472,5002911.7973,5328,1013718,BYRAM TOWNSHIP POLICE DEPARTMENT,10 MANSFIELD DRIVE,STANHOPE,NJ,07874,3123,(973) 347-4008,LOCAL POLICE DEPARTMENT,OPEN,16,SUSSEX,34037,USA,40.9360376000001,-74.707073199,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12323230,-999,-999,0,0,0,0,15,1,0,1
-8260374.9595,4983139.8129,5332,1013392,GLEN RIDGE POLICE DEPARTMENT,3 HERMAN STREET,GLEN RIDGE,NJ,07028,1415,(973) 748-5400,LOCAL POLICE DEPARTMENT,OPEN,34,ESSEX,34013,USA,40.8017238040001,-74.204210787,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12943220,-999,-999,0,0,0,0,27,7,0,0
-8338914.3795,4923684.7789,5333,1013467,WEST AMWELL TOWNSHIP POLICE DEPARTMENT,24 MOUNT AIRY VILLAGE ROAD,LAMBERTVILLE,NJ,08530,3509,(609) 397-1100,LOCAL POLICE DEPARTMENT,OPEN,7,HUNTERDON,34019,USA,40.3961976000001,-74.909742401,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11734910,-999,-999,0,0,0,0,6,1,1,0
-8344981.9039,4842184.4826,5336,1013387,GIBBSBORO BOROUGH POLICE DEPARTMENT,5 FOSTER AVENUE,GIBBSBORO,NJ,08026,1113,(856) 783-0151,LOCAL POLICE DEPARTMENT,OPEN,7,CAMDEN,34007,USA,39.8363152000001,-74.9642479,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12343280,-999,-999,0,0,0,0,7,0,2,0
-8238648.7918,4987911.9515,5344,1013661,RIDGEFIELD POLICE DEPARTMENT,604 BROAD AVENUE,RIDGEFIELD,NJ,07657,1626,(201) 943-5210,LOCAL POLICE DEPARTMENT,OPEN,30,BERGEN,34003,USA,40.8341665360001,-74.009041302,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12173090,-999,-999,0,0,0,0,28,2,13,34
-8242727.048,4988987.5126,5346,1013537,MOONACHIE POLICE DEPARTMENT,"70 MOONACHIE ROAD, MOONACHIE MUNICIPAL COURT BUILDING",MOONACHIE,NJ,07074,1140,(201) 641-9100,LOCAL POLICE DEPARTMENT,OPEN,20,BERGEN,34003,USA,40.8414764,-74.0456769,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12823170,-999,-999,0,0,0,0,17,3,0,9
-8244779.3341,5010476.015,5371,1013773,WASHINGTON TOWNSHIP POLICE,350 HUDSON AVENUE,WASHINGTON,NJ,07676,4716,(201) 664-1140,LOCAL POLICE DEPARTMENT,OPEN,22,BERGEN,34003,USA,40.9873503000001,-74.0641128999999,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/18 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12833090,-999,-999,0,0,0,0,22,0,1,0
